original_path,filename,category,size_bytes,sha256
Email Roster.png,Email Roster.png,communications,1206517,1c493cebf831a79370e37e1ee5c58afc2d3d849f2cca5fdab03157862ec4a8ff
Event Cancelled.png,Event Cancelled.png,reference,1214258,59ccca700484d4ba51fed51f9d413f17d478c54a4c7b1dc0857face346fd5273
event panel.jpg,event panel.jpg,reference,109878,e633814811f34cd73efe60c7a3b39d488f2fa824e46062514689332b63bbd584
Figure  3-1 Calendar.png,Figure 3-1 Calendar.png,calendar,1601266,7971474d6183751418f61ccb324d71f19af5e0050f41548194ac335a37d1bb0b
Figure 2.1 Overview Diagram.png,Figure 2.1 Overview Diagram.png,reference,1605260,4d454f0105d97b4df13ba57c78fb456f616a454d4e949ddf498a163118d60512
Figure 2.2 Flow.png,Figure 2.2 Flow.png,architecture,1624685,28d14a535dbe8e96eef5259ef02004fe719a82d3857c1221352aca6f10695094
FIgure 2-5 Compnents.png,FIgure 2-5 Compnents.png,reference,1563348,0bd3b8f0d3bba880858f65f024faf8547ad9d4950052219cfd910552549ef1bc
Figures 2-4 Users.png,Figures 2-4 Users.png,architecture,1601642,f33c8883b250a7b588706ecee5bca08b48d128a8f86ece8776a1fa014a9ca5ea
hours-screen-1.jpg,hours-screen-1.jpg,volunteer-hours,140440,f06ae43739bb835bdc5838e5a25999938dba1b9a6be6c5f40069cb115e934826
hours-screen-2.jpg,hours-screen-2.jpg,volunteer-hours,72820,d7dbd723b15d4e7e5fcaa9b004924e7161adfa8f14496795fe09afe2a5f6055a
Jotform path.png,Jotform path.png,reference,1458340,26edaecbe07e68d92e5d84d2eb3be3946362df8cc502bdad22f137f1b8cb32e4
jotform survey.png,jotform survey.png,reference,32730,24141efb7527c35ec4577a614fe16a787ad0cf04a62aa36963da86f9cedfbf67
Screenshot 2026-07-23 212228.jpg,Screenshot 2026-07-23 212228.jpg,reference,238925,8b3f7f379cb58504626414908f53316eec1f037e96b80a0d8172f2510f8d4189
Screenshot 2026-07-23 212554.jpg,Screenshot 2026-07-23 212554.jpg,reference,326708,8b1d209156311e2d222df29f0f6df1f3b3d4a6f0e185bb939879e3fe5efd6ebe
Screenshot 2026-07-23 212757.jpg,Screenshot 2026-07-23 212757.jpg,reference,245257,81df13beb867ed0224a141ebe338cb76c2ae1810e17a82d0983ac96a4398f95e
Screenshot 2026-07-23 212842.jpg,Screenshot 2026-07-23 212842.jpg,reference,259496,d904e8f9842ce1dd5a94022cc1a095b00590fcc39887286a144f7c1a642277d7
Screenshot 2026-07-23 212914.jpg,Screenshot 2026-07-23 212914.jpg,reference,390229,cd9498266d074e8a9753f0e365c0ff7b0169b5879bb6a320fdc72bb412acca3b
system console.jpg,system console.jpg,architecture,54111,ca9d19f552206d5fb361a6708682856a5e693bdbd35f0d0698536ad2c61c80ae
2-11 Calendar.png,2-11 Calendar.png,calendar,1327826,15e41c8a4f6ce1c91719c341feb1c6f1a887f7c0541addf785140af646d49b89
2-11 Communication.png,2-11 Communication.png,communications,1307963,6d840a7ea2cf07b9cbcfd65063f964322f123c114217ab7d1dbb2386756697cb
2-11 Volunteer Hours.png,2-11 Volunteer Hours.png,volunteer-hours,1182543,aec691c30cf77a1a6d3e65a6dc9b619c52591870dd3c6762c714b0951b73d55e
2-11.png,2-11.png,reference,1460254,8e96344859d1ee8ba685cbeb37cb7d4f079972eb134744365306e65599a05393
3-2 High Level System Diagram.png,3-2 High Level System Diagram.png,architecture,1326818,d17dbf6adc10738cfcb2ac5fcd087245c2bd889d503b4af891872529787902fb
3-9 End to End Request Flow.png,3-9 End to End Request Flow.png,api,1340896,48f83353e83ced89daa672dc1e9308c697000731068e75e936d4de938c52a6df
3-10 Synchronization.png,3-10 Synchronization.png,synchronization,1280383,5a2992e5d620abe0e2898e3a26a6fd1f34dac2ada262dbc882fcbe9b2a23cc20
4-6 Event Flow.png,4-6 Event Flow.png,architecture,1242866,1c8dbbaa33f43037667ba8186fbc4929e0e5c386bcf2f8d1da104405470ade12
7-8 Synchronization  Workflow.png,7-8 Synchronization Workflow.png,synchronization,1251496,229c33249ae15b635fbc51679bfd2e3c4317ea034701a0ae3ff6f3319f561b5d
14-10 Response and Format.png,14-10 Response and Format.png,api,1437775,730b8c439010e0f6f158eb97de6e2bb59c8e9acf8aa638bc0a0c57719a706127
19-2.png,19-2.png,reference,1360041,2a442e2847fd522503417def2069ef37b12e969b01727ed17c0d005a54844e63
23-3-1-relationships.png,23-3-1-relationships.png,database,1397144,12f38be0a3244778946bc6dc966b09e086bdd6416833bef3be3b89e91b844f55
23-3-2-queries.png,23-3-2-queries.png,database,1481979,a68954124d241e152fac2f3867d536eb00bdca7c4def83ce16fc92eae087c2de
25-3 Architectural Concept.png,25-3 Architectural Concept.png,reference,1345774,b82afc60bd6546743c65155f48593e6ad4edbdb94c1bb15abe8d74396b333e22
Communication Screen.png,Communication Screen.png,communications,1136823,88afbf7ceeefddbf3f4ce1689d4e2916275d0c1829cd2028acc9a440e7eb9842
Dashboard 7-25.jpg,Dashboard 7-25.jpg,dashboard,95911,828d3de0d586fa7f325cdc58effecf6a6838f10c45ce0b38daf1f95b1603030b
